filename,domain,document_type
Consolidated Financial Results.pdf,finance,financial_results
Digital Systems & Services Strategy.pdf,digital,strategy_report
ESG Third-Party Assurance.pdf,esg,assurance_report
Human Capital Strategy.pdf,hr,strategy_report
"Investor Day Materials (includes Human Capital, Digital Strategy, etc.).pdf",investor_relations,presentation
ntegrated Report 2025 (Full PDF).pdf,company,integrated_report
Sustainability Downloads.pdf,sustainability,reference_document
Sustainability Report – Environment.pdf,environment,sustainability_report
Sustainability Report – Social.pdf,social,sustainability_report
Sustainability Report 2025 (Full Report).pdf,sustainability,sustainability_report
